company_name,RSSD_ID,RefinedAddress,City,State,Pin,webAddress,EntityType,Incorporated,SIC_Code,FiscalYearEnd,Regulator,FilerStatus
"HOMESTREET, INC.",3843507,601 UNION STREET,SEATTLE,WA,98101,,STATE COMMERCIAL BANKS,"WA, US",6022,1231,SEC,Accelerated
TOMPKINS FINANCIAL CORP,2367921,118 E SENECA STREET,ITHACA,NY,14850,,STATE COMMERCIAL BANKS,"NY, US",6022,1231,SEC,Large Accelerated
1ST SOURCE CORP,1199602,100 NORTH MICHIGAN STREET,SOUTH BEND,IN,46601,,STATE COMMERCIAL BANKS,"IN, US",6022,1231,SEC,Large Accelerated
FB FINANCIAL CORP,1132104,211 COMMERCE STREET,NASHVILLE,TN,37201,,STATE COMMERCIAL BANKS,"TN, US",6022,1231,SEC,Accelerated
FIRST FOUNDATION INC.,3842658,18101 VON KARMAN AVE,IRVINE,CA,92612,,STATE COMMERCIAL BANKS,"CA, US",6022,1231,SEC,Large Accelerated
TRICO BANCSHARES /,1030170,TRICO BANCSHARES,CHICO,CA,95973,,STATE COMMERCIAL BANKS,"CA, US",6022,1231,SEC,Large Accelerated
FIRST BANCORP /NC/,1076431,300 SW BROAD STREET,SOUTHERN PINES,NC,28387,,STATE COMMERCIAL BANKS,"NC, US",6022,1231,SEC,Large Accelerated
"MERIDIAN BANCORP, INC.",1902651,10 MERIDIAN STREET,EAST BOSTON,MA,02128,,NATIONAL COMMERCIAL BANKS,"MD, US",6021,1231,SEC,Large Accelerated
"MIDLAND STATES BANCORP, INC.",1491351,1201 NETWORK CENTRE DRIVE,EFFINGHAM,IL,62401,,STATE COMMERCIAL BANKS,"IL, US",6022,1231,SEC,Large Accelerated
CENTRAL PACIFIC FINANCIAL CORP,1022764,220 S KING ST,HONOLULU,HI,96813,,STATE COMMERCIAL BANKS,"HI, US",6022,1231,SEC,Large Accelerated
"ORIGIN BANCORP, INC.",1885307,500 S SERVICE ROAD EAST,RUSTON,LA,71270,,STATE COMMERCIAL BANKS,"LA, US",6022,1231,SEC,Large Accelerated
NATIONAL BANK HOLDINGS CORP,3973888,7800 EAST ORCHARD ROAD,GREENWOOD VILLAGE,CO,80111,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Large Accelerated
META FINANCIAL GROUP INC,2390013,5501 SOUTH BROADBAND LANE,SIOUX FALLS,SD,57108,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,930,SEC,Large Accelerated
"BYLINE BANCORP, INC.",1204627,,,,,,STATE COMMERCIAL BANKS,,6022,1231,SEC,Accelerated
REPUBLIC BANCORP INC /KY/,1097025,REPUBLIC CORPORATE CENTER,LOUISVILLE,KY,40202,,STATE COMMERCIAL BANKS,"KY, US",6022,1231,SEC,Accelerated
WESTAMERICA BANCORPORATION,1025541,1108 FIFTH AVE,SAN RAFAEL,CA,94901,,NATIONAL COMMERCIAL BANKS,"CA, US",6021,1231,SEC,Large Accelerated
WASHINGTON TRUST BANCORP INC,1115349,23 BROAD ST,WESTERLY,RI,02891,,STATE COMMERCIAL BANKS,"RI, US",6022,1231,SEC,Large Accelerated
HANMI FINANCIAL CORP,2900261,3660 WILSHIRE BLVD SUITE PH-A,LOS ANGELES,CA,90010,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Large Accelerated
CENTURY BANCORP INC,1111088,400 MYSTIC AVENUE,MEDFORD,MA,01887,,STATE COMMERCIAL BANKS,"MA, US",6022,1231,SEC,Accelerated
UNIVEST FINANCIAL CORP,1116609,14 NORTH MAIN STREET,SOUDERTON,PA,18964,,STATE COMMERCIAL BANKS,"PA, US",6022,1231,SEC,Large Accelerated
"BANCORP, INC.",2858951,409 SILVERSIDE ROAD,WILMINGTON,DE,19809,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Accelerated
"TRIUMPH BANCORP, INC.",3233126,12700 PARK CENTRAL DRIVE,DALLAS,TX,75251,,STATE COMMERCIAL BANKS,"TX, US",6022,1231,SEC,Large Accelerated
HORIZON BANCORP INC /IN/,1209136,515 FRANKLIN STREET,MICHIGAN CITY,IN,46360,,STATE COMMERCIAL BANKS,"IN, US",6022,1231,SEC,Large Accelerated
"LIVE OAK BANCSHARES, INC.",3884863,1741 TIBURON DRIVE,WILMINGTON,NC,28403,,STATE COMMERCIAL BANKS,"NC, US",6022,1231,SEC,Large Accelerated
TRUSTCO BANK CORP N Y,1048513,5 SARNOWSKI DRIVE,GLENVILLE,NY,12302,,STATE COMMERCIAL BANKS,"NY, US",6022,1231,SEC,Large Accelerated
QCR HOLDINGS INC,2125813,3551 7TH STREET,MOLINE,IL,61265,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Accelerated
CITY HOLDING CO,1076262,25 GATEWATER ROAD,CHARLESTON,WV,25313,,NATIONAL COMMERCIAL BANKS,"WV, US",6021,1231,SEC,Large Accelerated
"GREAT SOUTHERN BANCORP, INC.",2339133,1451 E BATTLEFIELD,SPRINGFIELD,MO,65804,,STATE COMMERCIAL BANKS,"MD, US",6022,1231,SEC,Accelerated
"CROSSFIRST BANKSHARES, INC.",,11440 TOMAHAWK CREEK PARKWAY,LEAWOOD,KS,66211,,STATE COMMERCIAL BANKS,"KS, US",6022,1231,SEC,Non-Accelerated
"BRIDGE BANCORP, INC.",1416523,2200 MONTAUK HGWAY,BRIDGEHAMPTON,NY,11932,,NATIONAL COMMERCIAL BANKS,"NY, US",6021,1231,SEC,Accelerated
LAKELAND FINANCIAL CORP,1208906,202 E CENTER ST,WARSAW,IN,46581-1387,,STATE COMMERCIAL BANKS,"IN, US",6022,1231,SEC,Large Accelerated
"ALLEGIANCE BANCSHARES, INC.",3744239,8727 W. SAM HOUSTON PARKWAY N,HOUSTON,TX,77040,,STATE COMMERCIAL BANKS,"TX, US",6022,1231,SEC,Accelerated
"MIDWESTONE FINANCIAL GROUP, INC.",1245228,102 SOUTH CLINTON ST.,IOWA CITY,IA,52240,,STATE COMMERCIAL BANKS,"IA, US",6022,1231,SEC,Accelerated
CAMDEN NATIONAL CORP,1130249,TWO ELM ST,CAMDEN,ME,04843,,NATIONAL COMMERCIAL BANKS,"ME, US",6021,1231,SEC,Accelerated
FINANCIAL INSTITUTIONS INC,1032464,220 LIBERTY STREET,WARSAW,NY,14569,,NATIONAL COMMERCIAL BANKS,"NY, US",6021,1231,SEC,Accelerated
PEOPLES BANCORP INC,1070578,138 PUTNAM ST,MARIETTA,OH,45750-0738,,STATE COMMERCIAL BANKS,"OH, US",6022,1231,SEC,Accelerated
COMMUNITY TRUST BANCORP INC /KY/,1070644,346 NORTH MAYO TRAIL,PIKEVILLE,KY,41502-2947,,STATE COMMERCIAL BANKS,"KY, US",6022,1231,SEC,Large Accelerated
"GERMAN AMERICAN BANCORP, INC.",1098620,711 MAIN ST,JASPER,IN,47546,,STATE COMMERCIAL BANKS,"IN, US",6022,1231,SEC,Large Accelerated
FIRST INTERNET BANCORP,3393178,11201 USA PARKWAY,FISHERS,IN,46037,,STATE COMMERCIAL BANKS,"IN, US",6022,1231,SEC,Accelerated
"HARBORONE BANCORP, INC.",,770 OAK STREET,BROCKTON,MA,02301,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Accelerated
FIRST OF LONG ISLAND CORP,1048894,10 GLEN HEAD RD,GLEN HEAD,NY,11545,,NATIONAL COMMERCIAL BANKS,"NY, US",6021,1231,SEC,Accelerated
HERITAGE COMMERCE CORP,2634874,150 ALMADEN BOULEVARD,SAN JOSE,CA,95113,,STATE COMMERCIAL BANKS,"CA, US",6022,1231,SEC,Accelerated
